"Node Name"	"node.degree"	"node.betw"	"node.stress"	"node.evcent"	"Clustering.Coefficient"
"OTU_184"	109	4.74020442671956	293	0.0943258363318676	0.9502208630649
"OTU_209"	108	2.11663515988315	182	0.0943446776972469	0.968501211491866
"OTU_146"	112	3.39888384315419	283	0.0971357830976324	0.95447232947233
"OTU_45"	104	3.46082876419118	201	0.0905141844361591	0.962471994025392
"OTU_334"	102	13.5574635582079	282	0.0880024354849654	0.945253348864298
"OTU_63"	110	3.45140652142328	270	0.0954218547255519	0.954962468723937
"OTU_126"	112	3.8199852398945	302	0.0969846158340617	0.951415701415701
"OTU_127"	112	3.39888384315419	283	0.0971357830976324	0.95447232947233
"OTU_115"	110	2.74318127012263	231	0.0957426374353881	0.961467889908257
"OTU_114"	109	10.2970825568015	294	0.0942854584879568	0.950050968399592
"OTU_252"	112	3.86946327296356	305	0.0969587897233561	0.950933075933076
"OTU_108"	112	3.39888384315419	283	0.0971357830976324	0.95447232947233
"OTU_572"	105	1.70743813053519	145	0.0919851478344642	0.973443223443223
"OTU_95"	14	0.012987012987013	1	0.0116298215603877	0.989010989010989
