OUT	C.M1	C.M2	C.M3	GC.M1	GC.M2	GC.M3	Taxonomy
OTU_4065	0	2	1	0	0	1	k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__Planctomyces
OTU_4066	0	0	0	1	0	2	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII
OTU_4067	2	1	1	2	0	1	k__Bacteria;p__Chloroflexi
OTU_4068	0	0	0	1	0	0	k__Bacteria;p__Thermomicrobia;c__unidentified_Thermomicrobia;o__JG30-KF-CM45;f__;g__;s__
OTU_4069	0	0	1	0	1	2	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Caldicoprobacteraceae;g__Caldicoprobacter;s__
OTU_4070	0	0	0	0	0	0	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__
OTU_4071	0	0	0	3	2	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_vadinBB60_group;g__;s__
OTU_4072	5	2	8	1	1	1	k__Bacteria;p__Acidobacteria;c__unidentified_Acidobacteria;o__AT-s3-28;f__;g__;s__
OTU_4073	0	0	0	0	1	0	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium_sp._LWH105
OTU_4074	0	4	1	0	2	0	k__Bacteria
OTU_4075	1	2	1	15	3	9	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-014;s__
OTU_4076	1	4	2	1	0	2	k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae
OTU_4077	1	0	0	1	2	0	k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__unidentified_Chloroplast;f__unidentified_Chloroplast;g__unidentified_Chloroplast
OTU_4078	1	0	0	3	2	3	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Olivibacter;s__Olivibacter_soli
OTU_4079	0	1	2	0	2	6	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__BIrii41;g__;s__
OTU_4080	0	0	0	1	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae
OTU_4081	0	0	0	0	0	0	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae
OTU_4082	1	1	1	0	1	1	k__Bacteria;p__Chloroflexi;c__JG30-KF-CM66;o__;f__;g__;s__
OTU_4083	1	1	3	2	1	3	k__Bacteria;p__Acidobacteria;c__unidentified_Acidobacteria;o__Subgroup_17;f__;g__;s__
OTU_4084	0	1	0	1	0	2	k__Bacteria
OTU_4085	0	1	0	0	0	1	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-013;s__
OTU_4086	0	0	0	6	1	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Thalassospira;s__
OTU_4087	0	3	1	0	2	1	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae
OTU_4088	0	0	0	0	1	0	k__Bacteria;p__Parcubacteria;c__;o__;f__;g__;s__
OTU_4089	16	0	0	0	0	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides
OTU_4090	0	0	0	2	1	3	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__34P16;f__unidentified_34P16;g__unidentified_34P16;s__Pseudomonas_sp._MIC_2010
OTU_4091	0	1	2	0	0	1	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__SM1A02;s__
OTU_4092	2	1	0	1	0	1	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Order_II;f__Rhodothermaceae
OTU_4093	1	1	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Sandaracinaceae
OTU_4094	4	2	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria
OTU_4095	0	0	0	0	1	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-014;s__
OTU_4096	31	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_FCS020_group;s__
OTU_4097	1	2	0	0	0	2	k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__;s__
OTU_4098	0	0	0	0	1	2	k__Bacteria;p__Gemmatimonadetes;c__unidentified_Gemmatimonadetes;o__unidentified_Gemmatimonadetes;f__S0134_terrestrial_group;g__;s__
OTU_4099	0	2	0	0	0	3	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Thermoactinomycetaceae;g__;s__
OTU_4100	2	1	4	0	1	4	k__Bacteria;p__Proteobacteria
OTU_4101	1	0	0	0	1	0	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__PHOS-HE51;g__;s__
OTU_4102	0	1	1	1	0	0	k__Bacteria;p__Chloroflexi;c__TK10;o__;f__;g__;s__
OTU_4103	0	3	3	0	0	5	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__SM1A02;s__
OTU_4104	0	2	1	1	1	7	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Kaistia;s__
OTU_4105	2	0	0	0	0	4	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mollicutes_RF9;f__;g__;s__
OTU_4106	0	4	1	0	0	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Nannocystaceae;g__Nannocystis;s__
OTU_4107	1	0	3	3	0	0	k__Bacteria;p__Thermomicrobia;c__unidentified_Thermomicrobia;o__JG30-KF-CM45;f__;g__;s__
OTU_4108	0	5	2	3	3	5	k__Bacteria;p__Latescibacteria;c__;o__;f__;g__;s__
OTU_4109	0	0	2	0	1	0	k__Bacteria;p__Elusimicrobia;c__unidentified_Elusimicrobia;o__MVP-88;f__;g__;s__
OTU_4110	1	0	0	3	1	1	k__Bacteria;p__Thermomicrobia;c__unidentified_Thermomicrobia;o__JG30-KF-CM45;f__;g__;s__
OTU_4111	2	7	3	2	5	3	k__Bacteria;p__Saccharibacteria;c__;o__;f__;g__;s__
OTU_4112	0	2	3	2	5	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__MNC12;g__;s__
OTU_4113	2	5	0	1	2	2	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__CCM11a;f__;g__;s__
OTU_4114	3	1	2	3	2	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Nitrospinaceae;g__Candidatus_Entotheonella;s__
OTU_4115	0	0	0	2	0	2	k__Bacteria
OTU_4116	20	0	1	0	0	0	k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales;f__;g__;s__
OTU_4117	3	0	0	1	0	0	k__Bacteria;p__Tenericutes;c__Mollicutes;o__;f__;g__;s__
OTU_4118	0	0	0	0	0	1	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-010;s__
OTU_4119	0	1	0	0	0	0	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Order_II;f__Rhodothermaceae;g__;s__
OTU_4120	15	0	0	0	0	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenellaceae_RC9_gut_group;s__
OTU_4121	0	0	0	1	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
OTU_4122	0	0	0	1	1	2	k__Bacteria;p__Actinobacteria;c__unidentified_Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__Longispora;s__
OTU_4123	0	0	3	0	0	2	k__Bacteria;p__Thermomicrobia;c__unidentified_Thermomicrobia;o__Sphaerobacterales;f__Sphaerobacteraceae;g__Nitrolancea;s__
OTU_4124	0	3	0	3	1	3	k__Bacteria
OTU_4125	16	19	21	13	9	11	k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__0319-6M6;g__;s__
OTU_4126	3	0	1	0	0	0	k__Bacteria;p__Bacteroidetes
OTU_4127	0	0	0	1	0	1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae
OTU_4128	0	0	0	1	0	1	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus_1
OTU_4129	2	0	1	1	0	0	k__Bacteria;p__Chloroflexi
OTU_4130	1	3	0	0	0	1	k__Bacteria;p__Verrucomicrobia;c__Spartobacteria;o__Chthoniobacterales;f__Chthoniobacteraceae;g__Chthoniobacter;s__
OTU_4131	3	1	0	0	0	3	k__Bacteria;p__Chloroflexi;c__Caldilineae;o__Caldilineales;f__Caldilineaceae;g__;s__
OTU_4132	1	0	3	0	2	0	k__Bacteria
OTU_4133	0	0	3	0	0	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Nitrospinaceae;g__Candidatus_Entotheonella;s__
OTU_4134	5	0	1	0	1	0	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Sporocytophaga;s__
OTU_4135	21	0	1	3	0	1	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mollicutes_RF9;f__;g__;s__
OTU_4136	3	2	1	12	6	7	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
OTU_4137	3	0	0	3	3	1	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU_4138	0	0	0	0	3	2	k__Bacteria;p__Gemmatimonadetes;c__unidentified_Gemmatimonadetes
OTU_4139	17	15	15	6	6	5	k__Bacteria;p__Verrucomicrobia;c__OPB35_soil_group
OTU_4140	1	3	5	4	1	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales
OTU_4141	1	2	3	1	1	4	k__Bacteria;p__Proteobacteria
OTU_4142	0	1	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Skermanella;s__Skermanella_xinjiangensis
OTU_4143	0	1	2	1	0	1	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XVIII
OTU_4144	2	2	4	0	2	1	k__Bacteria
OTU_4145	0	0	3	1	0	2	k__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__FFCH7168;g__;s__
OTU_4146	4	1	2	0	0	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Haliangiaceae;g__Haliangium;s__
OTU_4147	1	3	1	5	0	3	k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__;s__
OTU_4148	1	3	1	2	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Brevibacillus
OTU_4149	0	0	0	5	0	0	k__Bacteria
OTU_4150	0	1	1	0	2	0	k__Bacteria;p__Chloroflexi
OTU_4151	0	1	0	1	0	1	k__Bacteria
OTU_4152	0	0	3	0	0	0	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__Chitinophaga;s__
OTU_4153	1	4	3	1	4	3	k__Bacteria;p__Actinobacteria;c__TakashiAC-B11;o__;f__;g__;s__
OTU_4154	1	2	1	0	1	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Nitrospinaceae;g__Candidatus_Entotheonella;s__
OTU_4155	0	0	0	6	0	5	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-010;s__
OTU_4156	2	2	4	1	1	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae;g__;s__
OTU_4157	5	3	4	2	2	2	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodomicrobium;s__
OTU_4158	0	1	1	1	0	0	k__Bacteria;p__Gemmatimonadetes;c__unidentified_Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae
OTU_4159	5	1	1	0	0	0	k__Bacteria;p__Acidobacteria;c__unidentified_Acidobacteria;o__Subgroup_25;f__;g__;s__
OTU_4160	0	2	0	1	2	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bdellovibrionales;f__Bdellovibrionaceae;g__;s__
OTU_4161	1	1	1	1	1	1	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-010;s__
OTU_4162	11	13	0	11	10	8	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_6;s__
OTU_4163	0	0	0	1	1	3	k__Bacteria;p__Elusimicrobia;c__unidentified_Elusimicrobia;o__Lineage_IIb;f__;g__;s__
OTU_4164	0	1	0	1	1	0	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__;s__
OTU_4165	4	8	5	3	7	5	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales
OTU_4166	6	7	16	1	0	1	k__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__Roseiflexaceae;g__Roseiflexus;s__
OTU_4167	1	1	1	0	1	0	k__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Herpetosiphonales;f__Herpetosiphonaceae;g__Herpetosiphon;s__
OTU_4168	0	0	0	0	0	0	k__Bacteria;p__Chloroflexi;c__JG37-AG-4;o__;f__;g__;s__
OTU_4169	4	4	0	1	0	2	k__Bacteria;p__Acidobacteria;c__unidentified_Acidobacteria;o__Subgroup_4;f__DS-100;g__;s__
OTU_4170	1	1	1	1	1	2	k__Bacteria
OTU_4171	4	1	2	0	3	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Coxiellaceae
OTU_4172	0	2	1	0	0	1	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Coxiellaceae;g__Aquicella;s__
OTU_4173	0	1	1	1	0	0	k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae
OTU_4174	0	0	0	1	1	0	k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Ktedonobacterales;f__BacC-u-018;g__;s__
OTU_4175	0	1	1	1	0	0	k__Bacteria;p__Armatimonadetes;c__;o__;f__;g__;s__
OTU_4176	1	0	2	2	1	0	k__Bacteria
OTU_4177	1	1	3	1	0	0	k__Bacteria;p__Actinobacteria;c__unidentified_Actinobacteria;o__Micromonosporales;f__Micromonosporaceae
OTU_4178	4	7	1	2	0	0	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__WD2101_soil_group;f__;g__;s__
OTU_4179	1	2	9	2	3	1	k__Bacteria
OTU_4180	0	1	0	0	0	0	k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__Planctomyces;s__
OTU_4181	0	3	3	1	1	2	k__Bacteria;p__Chloroflexi;c__TK10;o__unidentified_TK10;f__unidentified_TK10;g__unidentified_TK10;s__Chloroflexi_bacterium_JEA33
OTU_4182	0	0	2	0	0	0	k__Bacteria
OTU_4183	2	8	5	0	4	3	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__
OTU_4184	2	0	0	0	0	2	k__Bacteria
OTU_4185	2	4	5	1	1	1	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Coxiellaceae;g__Aquicella
OTU_4186	1	0	0	1	1	0	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mollicutes_RF9;f__;g__;s__
OTU_4187	2	1	2	1	2	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__unidentified_Rhodospirillales;g__Candidatus_Alysiosphaera;s__
OTU_4188	0	0	1	1	0	0	k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__Gemmata;s__
OTU_4189	1	1	1	0	0	0	k__Bacteria
OTU_4190	5	3	0	0	2	6	k__Bacteria;p__Gemmatimonadetes;c__unidentified_Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;s__
OTU_4191	3	0	2	0	0	3	k__Bacteria
OTU_4192	0	0	0	0	1	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-010;s__
OTU_4193	1	0	0	0	0	1	k__Bacteria;p__Acidobacteria;c__unidentified_Acidobacteria;o__Subgroup_3;f__unidentified_Acidobacteria;g__Candidatus_Solibacter;s__
OTU_4194	6	9	5	2	3	4	k__Bacteria;p__Acidobacteria;c__unidentified_Acidobacteria;o__Subgroup_5;f__;g__;s__
OTU_4195	2	1	1	1	1	0	k__Bacteria;p__Acidobacteria;c__unidentified_Acidobacteria;o__Subgroup_4;f__11-24;g__;s__
OTU_4196	0	0	0	0	1	1	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__WD2101_soil_group;f__;g__;s__
OTU_4197	1	0	0	2	0	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales
OTU_4198	0	1	0	0	0	2	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Sh765B-TzT-29;f__;g__;s__
OTU_4199	0	0	1	1	0	1	k__Bacteria;p__Acidobacteria;c__unidentified_Acidobacteria;o__Subgroup_3;f__unidentified_Acidobacteria;g__Bryobacter;s__
OTU_4200	3	1	2	1	2	3	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria
OTU_4201	2	1	2	1	1	1	k__Bacteria;p__Saccharibacteria;c__;o__;f__;g__;s__
OTU_4202	0	0	1	0	1	0	k__Bacteria;p__Chloroflexi
OTU_4203	0	0	0	0	1	0	k__Bacteria;p__Acidobacteria;c__unidentified_Acidobacteria;o__Subgroup_3;f__unidentified_Acidobacteria;g__Bryobacter;s__
OTU_4204	0	1	1	0	0	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__GR-WP33-30
OTU_4205	3	2	0	2	0	0	k__Bacteria;p__Actinobacteria;c__MB-A2-108;o__;f__;g__;s__
OTU_4206	15	0	0	0	0	0	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Olsenella
OTU_4207	0	1	1	0	0	0	k__Bacteria;p__Acidobacteria;c__unidentified_Acidobacteria;o__Subgroup_4;f__unidentified_Acidobacteria;g__Blastocatella;s__
OTU_4208	0	4	4	3	0	2	k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__Gemmata;s__
OTU_4209	0	0	0	0	0	0	k__Bacteria
OTU_4210	0	0	0	0	0	0	k__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__Roseiflexaceae;g__Roseiflexus;s__
OTU_4211	0	1	5	0	2	1	k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__Pirellula;s__
OTU_4212	1	0	3	0	0	0	k__Bacteria
OTU_4213	3	0	1	1	2	1	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria
OTU_4214	3	2	2	5	0	3	k__Bacteria;p__Acidobacteria;c__unidentified_Acidobacteria;o__Subgroup_17;f__;g__;s__
OTU_4215	2	1	1	1	0	0	k__Bacteria;p__Chloroflexi
OTU_4216	1	3	0	0	0	1	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__B79;g__;s__
OTU_4217	2	1	2	0	2	0	k__Bacteria;p__Verrucomicrobia;c__OPB35_soil_group;o__;f__;g__;s__
OTU_4218	0	6	0	2	1	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales
OTU_4219	0	1	0	0	0	0	k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae
OTU_4220	0	1	1	0	1	1	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__mle1-27;g__;s__
OTU_4221	68	80	96	56	67	67	k__Bacteria;p__Acidobacteria;c__Holophagae;o__Subgroup_7;f__;g__;s__
OTU_4222	9	11	11	5	10	16	k__Bacteria;p__Gemmatimonadetes;c__unidentified_Gemmatimonadetes;o__AT425-EubC11_terrestrial_group;f__;g__;s__
OTU_4223	0	0	0	0	1	1	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae
OTU_4224	1	0	6	2	1	1	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__env.OPS_17;g__;s__
OTU_4225	6	6	1	5	3	4	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Iamia;s__
OTU_4226	1	0	0	2	0	0	k__Bacteria;p__Acidobacteria;c__unidentified_Acidobacteria;o__Subgroup_25;f__;g__;s__
OTU_4227	1	0	0	1	1	4	k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Patulibacteraceae;g__Patulibacter
OTU_4228	2	2	0	2	1	2	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales
OTU_4229	0	2	0	0	0	0	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Olivibacter
OTU_4230	1	0	2	3	0	0	k__Bacteria;p__Elusimicrobia;c__unidentified_Elusimicrobia;o__Lineage_IIa;f__;g__;s__
OTU_4231	21	0	0	0	0	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__;s__
OTU_4232	2	3	2	3	2	1	k__Bacteria;p__Gemmatimonadetes;c__unidentified_Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;s__
OTU_4233	135	240	244	209	109	187	k__Bacteria;p__Acidobacteria;c__unidentified_Acidobacteria;o__Subgroup_4;f__RB41;g__;s__
OTU_4234	2	1	2	1	0	1	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Polyangiaceae
OTU_4235	1	5	1	1	1	2	k__Archaea;p__Thaumarchaeota;c__.SCG.;o__;f__;g__;s__
OTU_4236	0	0	1	0	0	0	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Order_II;f__Rhodothermaceae;g__;s__
OTU_4237	0	1	0	0	1	3	k__Bacteria;p__Proteobacteria
OTU_4238	0	2	0	0	0	0	k__Bacteria
OTU_4239	4	4	7	4	0	2	k__Bacteria;p__Acidobacteria;c__unidentified_Acidobacteria;o__Subgroup_4;f__11-24;g__;s__
OTU_4240	0	2	0	1	0	0	k__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__FFCH7168;g__;s__
OTU_4241	2	3	5	1	2	2	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__P3OB-42;g__;s__
OTU_4242	0	1	0	0	0	1	k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__Singulisphaera;s__
OTU_4243	1	1	2	3	5	1	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria
OTU_4244	0	1	3	0	2	1	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales
OTU_4245	0	2	3	1	0	2	k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__Gemmata;s__
OTU_4246	1	1	0	8	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales
OTU_4247	1	1	0	1	0	1	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Craurococcus;s__
OTU_4248	1	0	0	2	0	1	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__WD2101_soil_group;f__;g__;s__
OTU_4249	0	0	0	4	0	1	k__Bacteria;p__Actinobacteria;c__unidentified_Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia;s__Rothia_nasimurium
OTU_4250	1	0	0	1	4	5	k__Bacteria
OTU_4251	0	2	3	3	0	1	k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__;s__
OTU_4252	1	1	1	1	0	1	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales
OTU_4253	1	2	1	0	0	0	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__Taibaiella;s__
OTU_4254	1	2	1	0	1	0	k__Bacteria
OTU_4255	1	3	3	0	1	1	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium_damselae
OTU_4256	1	2	1	0	1	1	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Coxiellaceae;g__Aquicella
OTU_4257	1	1	1	1	4	2	k__Bacteria
OTU_4258	0	0	0	1	2	3	k__Bacteria;p__Gemmatimonadetes;c__unidentified_Gemmatimonadetes;o__AT425-EubC11_terrestrial_group;f__;g__;s__
OTU_4259	0	0	0	0	0	0	k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__4-29;g__;s__
OTU_4260	3	1	1	0	0	1	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__GR-WP33-30
OTU_4261	0	0	1	0	0	1	k__Bacteria;p__Gemmatimonadetes;c__unidentified_Gemmatimonadetes;o__unidentified_Gemmatimonadetes;f__S0134_terrestrial_group;g__;s__
OTU_4262	0	3	0	0	1	2	k__Bacteria;p__Chloroflexi;c__Gitt-GS-136;o__;f__;g__;s__
OTU_4263	1	0	0	0	3	1	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Haliangiaceae;g__Haliangium
OTU_4264	1	2	0	2	2	1	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Saprospiraceae;g__;s__
OTU_4265	0	1	0	0	0	0	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter
OTU_4266	0	0	0	4	0	1	k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__unidentified_Chloroplast;f__unidentified_Chloroplast;g__unidentified_Chloroplast
OTU_4267	0	0	1	1	0	0	k__Bacteria;p__Cyanobacteria;c__unidentified_Cyanobacteria;o__SubsectionIII;f__FamilyI;g__Trichocoleus;s__
