#OTU ID	KO6	WT8	KO2	KO5	OE2	WT1	WT2	WT4	KO7	KO3	WT6	OE4	KO9	WT3	KO1	KO4	WT5	KO8	OE6	OE5	WT7	OE7	WT9	OE1	OE8	OE9	OE3
OTU_88	4	3	3	4	2	7	6	4	9	2	14	3	5	2	4	5	5	3	2	2	3	3	3	1	4	2	3
OTU_86	9	3	7	6	5	7	11	9	8	5	5	8	6	7	6	6	4	6	6	7	5	3	5	9	5	5	6
OTU_6	49	28	34	26	34	31	24	35	31	13	39	43	28	39	27	31	30	32	30	44	42	44	31	45	41	35	34
OTU_125	12	3	9	9	10	5	10	5	5	2	6	5	11	4	9	6	6	7	9	12	3	2	3	11	12	8	8
OTU_661	7	8	4	5	6	4	5	7	4	3	9	8	6	7	6	6	4	3	5	6	3	3	8	4	3	8	3
OTU_31	6	1	13	6	4	4	16	13	2	3	2	1	6	8	5	4	2	5	3	2	10	3	6	2	3	1	3
OTU_113	3	1	2	1	3	1	1	1	1	0	2	1	1	1	1	2	1	1	1	2	2	1	1	2	1	1	3
OTU_398	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1
OTU_44	5	0	4	5	6	5	3	3	3	4	1	3	6	6	10	7	4	7	6	10	4	6	2	6	5	4	3
OTU_887	1	0	1	1	0	1	2	2	1	1	1	1	0	1	1	1	1	1	1	0	2	1	1	0	0	1	1
OTU_236	3	2	2	3	2	2	13	1	5	1	2	1	2	2	1	3	2	5	3	3	2	2	3	5	6	1	1
OTU_214	1	1	2	3	0	2	1	4	1	1	1	3	1	1	1	1	5	1	1	2	4	3	1	2	3	1	0
OTU_154	3	1	2	1	0	2	2	3	1	0	2	0	2	1	2	1	1	1	1	2	1	1	0	2	2	1	0
OTU_278	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
OTU_55	9	3	5	6	4	3	7	4	9	2	7	4	8	6	5	6	8	6	4	5	4	8	5	1	1	6	4
OTU_159	3	2	1	1	1	1	1	1	1	1	2	5	2	2	5	1	2	2	1	1	2	1	3	1	0	1	3
OTU_41	8	0	11	8	0	6	9	9	1	6	2	1	2	7	23	6	3	2	5	4	5	2	0	4	3	1	3
OTU_25	22	33	17	15	17	20	14	17	14	14	19	22	19	21	23	16	14	18	19	14	16	20	30	16	32	30	23
OTU_100	2	1	2	2	1	3	3	1	2	3	3	3	2	3	2	2	1	2	4	3	2	2	3	3	2	2	3
OTU_282	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_109	3	0	2	3	1	1	1	1	2	1	0	0	1	3	3	2	2	1	0	1	1	1	1	0	0	3	0
OTU_372	0	0	1	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0
OTU_87	9	7	14	12	13	8	4	9	11	9	6	5	9	19	13	13	20	13	8	10	12	12	5	13	7	12	17
OTU_201	2	0	1	1	2	1	0	1	2	0	0	0	0	2	0	2	4	0	1	0	1	1	1	2	2	1	1
OTU_80	5	13	3	5	6	2	6	3	3	3	1	8	2	4	3	4	2	4	3	5	5	4	1	5	7	5	4
OTU_70	9	8	6	6	3	9	5	5	3	5	2	4	4	8	6	5	7	7	4	6	7	5	11	1	4	5	5
OTU_589	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_82	6	2	4	4	2	5	5	4	3	3	6	0	5	4	4	3	3	4	1	3	5	3	2	4	4	4	0
OTU_241	2	0	2	1	2	2	2	1	1	1	1	0	2	1	1	1	1	2	1	2	1	1	1	2	3	3	3
OTU_136	1	1	1	1	2	1	1	1	1	0	2	0	2	1	1	2	0	1	0	1	1	1	2	3	1	0	0
OTU_837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_888	1	0	1	1	1	1	1	2	0	0	2	1	1	1	3	0	0	1	1	1	1	2	3	0	0	2	1
OTU_198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
OTU_194	3	1	3	2	1	3	4	2	3	1	3	1	3	2	3	2	2	3	1	0	1	0	1	3	1	3	4
OTU_65	8	4	15	4	3	7	5	4	11	3	6	5	2	9	2	4	5	3	7	3	4	1	5	4	3	5	5
